"Fecha,""Último"",""Apertura"",""Máximo"",""Mínimo"",""Vol."",""% var."""
"30.09.2022,""5.114,19"",""5.035,38"",""5.157,70"",""5.035,38"","""",""1,57%"""
"29.09.2022,""5.035,38"",""5.100,24"",""5.109,40"",""5.024,98"","""",""-1,27%"""
"28.09.2022,""5.100,24"",""5.180,64"",""5.191,90"",""5.099,70"","""",""-1,55%"""
"27.09.2022,""5.180,64"",""5.178,75"",""5.222,29"",""5.140,17"","""",""0,04%"""
"26.09.2022,""5.178,75"",""5.207,22"",""5.249,16"",""5.176,10"","""",""-0,55%"""
"23.09.2022,""5.207,22"",""5.303,06"",""5.303,06"",""5.207,09"","""",""-1,81%"""
"22.09.2022,""5.303,06"",""5.369,33"",""5.370,19"",""5.294,71"","""",""-1,23%"""
"21.09.2022,""5.369,33"",""5.340,97"",""5.401,64"",""5.334,24"","""",""0,54%"""
"20.09.2022,""5.340,29"",""5.522,92"",""5.549,84"",""5.340,29"","""",""-3,31%"""
"15.09.2022,""5.522,92"",""5.609,33"",""5.632,79"",""5.498,72"","""",""-1,54%"""
"14.09.2022,""5.609,33"",""5.580,67"",""5.660,64"",""5.567,96"","""",""0,51%"""
"13.09.2022,""5.580,67"",""5.596,26"",""5.629,68"",""5.527,69"","""",""-0,28%"""
"12.09.2022,""5.596,26"",""5.612,07"",""5.647,99"",""5.578,31"","""",""-0,28%"""
"09.09.2022,""5.612,03"",""5.516,80"",""5.616,99"",""5.516,80"","""",""1,75%"""
"08.09.2022,""5.515,58"",""5.540,82"",""5.584,67"",""5.515,58"","""",""-0,45%"""
"07.09.2022,""5.540,62"",""5.608,08"",""5.608,08"",""5.514,90"","""",""-1,20%"""
"06.09.2022,""5.607,74"",""5.779,25"",""5.842,38"",""5.587,53"","""",""-2,90%"""
"05.09.2022,""5.775,25"",""5.653,20"",""6.013,31"",""5.653,20"","""",""2,16%"""
"02.09.2022,""5.653,20"",""5.408,05"",""5.708,68"",""5.227,82"","""",""4,53%"""
"01.09.2022,""5.408,05"",""5.441,26"",""5.455,21"",""5.380,19"","""",""-0,61%"""
"31.08.2022,""5.441,26"",""5.536,39"",""5.549,94"",""5.440,79"","""",""-1,72%"""
"30.08.2022,""5.536,39"",""5.517,11"",""5.545,71"",""5.479,61"","""",""0,35%"""
"29.08.2022,""5.517,11"",""5.461,80"",""5.517,32"",""5.421,80"","""",""1,01%"""
"26.08.2022,""5.461,80"",""5.460,61"",""5.479,18"",""5.440,73"","""",""0,02%"""
"25.08.2022,""5.460,61"",""5.418,17"",""5.465,83"",""5.417,39"","""",""0,78%"""
"24.08.2022,""5.418,17"",""5.377,52"",""5.426,42"",""5.375,00"","""",""0,76%"""
"23.08.2022,""5.377,52"",""5.340,49"",""5.388,47"",""5.335,79"","""",""0,69%"""
"22.08.2022,""5.340,49"",""5.292,84"",""5.354,79"",""5.257,92"","""",""0,90%"""
"19.08.2022,""5.292,84"",""5.345,53"",""5.353,89"",""5.265,31"","""",""-0,99%"""
"18.08.2022,""5.345,53"",""5.405,31"",""5.405,31"",""5.322,12"","""",""-1,11%"""
"17.08.2022,""5.405,31"",""5.386,81"",""5.416,74"",""5.353,37"","""",""0,34%"""
"16.08.2022,""5.386,81"",""5.394,91"",""5.445,34"",""5.339,35"","""",""-0,15%"""
"12.08.2022,""5.394,91"",""5.325,90"",""5.406,32"",""5.322,97"","""",""1,30%"""
"11.08.2022,""5.325,90"",""5.272,93"",""5.325,90"",""5.260,33"","""",""1,00%"""
"10.08.2022,""5.272,93"",""5.236,34"",""5.286,93"",""5.236,34"","""",""0,70%"""
"09.08.2022,""5.236,34"",""5.260,34"",""5.260,34"",""5.215,81"","""",""-0,46%"""
"08.08.2022,""5.260,34"",""5.212,40"",""5.271,33"",""5.212,40"","""",""0,92%"""
"05.08.2022,""5.212,40"",""5.174,64"",""5.212,40"",""5.131,05"","""",""0,73%"""
"04.08.2022,""5.174,64"",""5.206,05"",""5.222,06"",""5.154,00"","""",""-0,60%"""
"03.08.2022,""5.206,05"",""5.248,53"",""5.269,32"",""5.181,83"","""",""-0,81%"""
"02.08.2022,""5.248,53"",""5.258,39"",""5.261,32"",""5.219,63"","""",""-0,19%"""
"01.08.2022,""5.258,39"",""5.259,05"",""5.272,84"",""5.229,79"","""",""-0,01%"""
"29.07.2022,""5.259,05"",""5.259,39"",""5.287,30"",""5.243,19"","""",""-0,01%"""
"28.07.2022,""5.259,39"",""5.251,32"",""5.286,88"",""5.242,09"","""",""0,15%"""
"27.07.2022,""5.251,32"",""5.200,13"",""5.251,39"",""5.189,10"","""",""0,98%"""
"26.07.2022,""5.200,13"",""5.236,33"",""5.238,16"",""5.183,07"","""",""-0,69%"""
"25.07.2022,""5.236,33"",""5.220,33"",""5.237,57"",""5.186,73"","""",""0,31%"""
"22.07.2022,""5.220,33"",""5.204,45"",""5.237,57"",""5.189,38"","""",""0,31%"""
"21.07.2022,""5.204,45"",""5.147,00"",""5.205,13"",""5.121,90"","""",""1,12%"""
"20.07.2022,""5.147,00"",""5.160,19"",""5.172,07"",""5.112,96"","""",""-0,26%"""
"19.07.2022,""5.160,19"",""5.081,74"",""5.160,19"",""5.069,56"","""",""1,54%"""
"18.07.2022,""5.081,74"",""5.091,73"",""5.140,46"",""5.071,34"","""",""-0,20%"""
"15.07.2022,""5.091,73"",""5.136,05"",""5.137,91"",""5.057,68"","""",""-0,86%"""
"14.07.2022,""5.136,05"",""5.117,81"",""5.136,05"",""5.053,80"","""",""0,36%"""
"13.07.2022,""5.117,81"",""5.074,26"",""5.132,99"",""5.046,32"","""",""0,86%"""
"12.07.2022,""5.074,26"",""5.058,45"",""5.078,93"",""5.017,52"","""",""0,31%"""
"11.07.2022,""5.058,45"",""5.112,78"",""5.125,83"",""5.058,45"","""",""-1,06%"""
"08.07.2022,""5.112,78"",""5.101,42"",""5.118,55"",""5.074,10"","""",""0,22%"""
"07.07.2022,""5.101,42"",""5.006,95"",""5.105,43"",""5.006,95"","""",""1,89%"""
"06.07.2022,""5.006,95"",""5.003,81"",""5.043,90"",""4.979,53"","""",""0,06%"""
"05.07.2022,""5.003,81"",""4.989,07"",""5.008,45"",""4.935,71"","""",""0,30%"""
"04.07.2022,""4.989,07"",""4.993,37"",""5.001,66"",""4.968,86"","""",""-0,09%"""
"01.07.2022,""4.993,37"",""4.950,39"",""5.007,01"",""4.950,39"","""",""0,87%"""
"30.06.2022,""4.950,39"",""5.009,63"",""5.011,64"",""4.950,39"","""",""-1,18%"""
"29.06.2022,""5.009,63"",""5.004,48"",""5.019,62"",""4.978,02"","""",""0,10%"""
"28.06.2022,""5.004,48"",""4.983,66"",""5.083,12"",""4.937,76"","""",""0,42%"""
"24.06.2022,""4.983,66"",""4.934,81"",""5.017,97"",""4.934,81"","""",""0,99%"""
"23.06.2022,""4.934,81"",""5.056,37"",""5.095,51"",""4.924,04"","""",""-2,40%"""
"22.06.2022,""5.056,37"",""5.084,37"",""5.102,37"",""5.056,37"","""",""-0,55%"""
"20.06.2022,""5.084,37"",""5.067,06"",""5.098,48"",""5.051,96"","""",""0,34%"""
"17.06.2022,""5.067,06"",""5.029,48"",""5.107,83"",""4.998,08"","""",""0,75%"""
"16.06.2022,""5.029,48"",""5.139,41"",""5.139,41"",""4.991,55"","""",""-2,14%"""
"15.06.2022,""5.139,41"",""5.121,40"",""5.152,48"",""5.103,65"","""",""0,35%"""
"14.06.2022,""5.121,40"",""5.131,30"",""5.165,80"",""5.114,27"","""",""-0,19%"""
"13.06.2022,""5.131,30"",""5.237,85"",""5.237,85"",""5.098,85"","""",""-2,03%"""
"10.06.2022,""5.237,85"",""5.184,27"",""5.238,71"",""5.136,49"","""",""1,03%"""
"09.06.2022,""5.184,27"",""5.277,00"",""5.279,33"",""5.184,27"","""",""-1,76%"""
"08.06.2022,""5.277,00"",""5.358,95"",""5.358,95"",""5.262,44"","""",""-1,53%"""
"07.06.2022,""5.358,95"",""5.332,59"",""5.367,98"",""5.313,67"","""",""0,49%"""
"06.06.2022,""5.332,59"",""5.352,44"",""5.393,33"",""5.317,70"","""",""-0,37%"""
"03.06.2022,""5.352,44"",""5.353,13"",""5.357,31"",""5.318,48"","""",""-0,01%"""
"02.06.2022,""5.353,13"",""5.299,11"",""5.366,81"",""5.275,70"","""",""1,02%"""
"01.06.2022,""5.299,11"",""5.350,48"",""5.352,79"",""5.230,87"","""",""-0,96%"""
"31.05.2022,""5.350,48"",""5.385,70"",""5.388,87"",""5.262,91"","""",""-0,65%"""
